time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554989482185,184,0.0,0.0297029702970297,0.0
1554989482854,853,0.0,0.0297029702970297,0.5208333333333334
1554989482888,887,0.03,0.0297029702970297,0.5208333333333334
1554989483184,1183,0.03,0.039603960396039604,0.5208333333333334
1554989483865,1864,0.03,0.039603960396039604,0.22448979591836735
1554989483889,1888,0.049019607843137254,0.039603960396039604,0.22448979591836735
1554989484189,2188,0.049019607843137254,0.05940594059405941,0.22448979591836735
1554989484854,2853,0.049019607843137254,0.05940594059405941,0.03
1554989484888,2887,0.04,0.05940594059405941,0.03
1554989485195,3194,0.04,0.4845360824742268,0.03
1554989485855,3854,0.04,0.4845360824742268,0.01020408163265306
1554989485888,3887,0.039603960396039604,0.4845360824742268,0.01020408163265306
1554989486195,4194,0.039603960396039604,0.27,0.01020408163265306
1554989486854,4853,0.039603960396039604,0.27,0.010101010101010102
1554989486889,4888,0.05,0.27,0.010101010101010102
1554989487194,5193,0.05,0.020202020202020204,0.010101010101010102
1554989487854,5853,0.05,0.020202020202020204,0.010309278350515464
1554989487898,5897,0.0297029702970297,0.020202020202020204,0.010309278350515464
1554989488185,6184,0.0297029702970297,0.020202020202020204,0.010309278350515464
1554989488864,6863,0.0297029702970297,0.020202020202020204,0.019801980198019802
1554989488889,6888,0.04950495049504951,0.020202020202020204,0.019801980198019802
1554989489185,7184,0.04950495049504951,0.039603960396039604,0.019801980198019802
1554989489855,7854,0.04950495049504951,0.039603960396039604,0.01020408163265306
1554989489888,7887,0.030303030303030304,0.039603960396039604,0.01020408163265306
1554989490185,8184,0.030303030303030304,0.02,0.01020408163265306
1554989490855,8854,0.030303030303030304,0.02,0.010101010101010102
1554989490888,8887,0.03,0.02,0.010101010101010102
1554989491185,9184,0.03,0.03,0.010101010101010102
1554989491854,9853,0.03,0.03,0.01020408163265306
1554989491888,9887,0.6804123711340205,0.03,0.01020408163265306
1554989492184,10183,0.6804123711340205,0.04,0.01020408163265306
1554989492855,10854,0.6804123711340205,0.04,0.010101010101010102
1554989492898,10897,0.4536082474226804,0.04,0.010101010101010102
1554989493184,11183,0.4536082474226804,0.020202020202020204,0.010101010101010102
1554989493855,11854,0.4536082474226804,0.020202020202020204,0.020202020202020204
1554989493898,11897,0.5961538461538461,0.020202020202020204,0.020202020202020204
1554989494185,12184,0.5961538461538461,0.057692307692307696,0.020202020202020204
1554989494855,12854,0.5961538461538461,0.057692307692307696,0.0
1554989494898,12897,0.4387755102040816,0.057692307692307696,0.0
1554989495185,13184,0.4387755102040816,0.0297029702970297,0.0
1554989495854,13853,0.4387755102040816,0.0297029702970297,0.010101010101010102
1554989495889,13888,0.13861386138613863,0.0297029702970297,0.010101010101010102
1554989496184,14183,0.13861386138613863,0.020202020202020204,0.010101010101010102
1554989496855,14854,0.13861386138613863,0.020202020202020204,0.01020408163265306
1554989496888,14887,0.04,0.020202020202020204,0.01020408163265306
1554989497185,15184,0.04,0.039603960396039604,0.01020408163265306
1554989497855,15854,0.04,0.039603960396039604,0.020202020202020204
1554989497889,15888,0.08,0.039603960396039604,0.020202020202020204
1554989498184,16183,0.08,0.02,0.020202020202020204
1554989498854,16853,0.08,0.02,0.020202020202020204
1554989498898,16897,0.0594059405940594,0.02,0.020202020202020204
