time (since java epoch),machine name,load (0 to 1)
1554989482888,887,Manager centralmanager-vm1,0.03
1554989483889,1888,Manager centralmanager-vm1,0.049019607843137254
1554989484888,2887,Manager centralmanager-vm1,0.04
1554989485888,3887,Manager centralmanager-vm1,0.039603960396039604
1554989486889,4888,Manager centralmanager-vm1,0.05
1554989487898,5897,Manager centralmanager-vm1,0.0297029702970297
1554989488889,6888,Manager centralmanager-vm1,0.04950495049504951
1554989489888,7887,Manager centralmanager-vm1,0.030303030303030304
1554989490888,8887,Manager centralmanager-vm1,0.03
1554989491888,9887,Manager centralmanager-vm1,0.6804123711340205
1554989492898,10897,Manager centralmanager-vm1,0.4536082474226804
1554989493898,11897,Manager centralmanager-vm1,0.5961538461538461
1554989494898,12897,Manager centralmanager-vm1,0.4387755102040816
1554989495889,13888,Manager centralmanager-vm1,0.13861386138613863
1554989496888,14887,Manager centralmanager-vm1,0.04
1554989497889,15888,Manager centralmanager-vm1,0.08
1554989498898,16897,Manager centralmanager-vm1,0.0594059405940594
1554989499889,17888,Manager centralmanager-vm1,0.020618556701030927
1554989500889,18888,Manager centralmanager-vm1,0.03
1554989501888,19887,Manager centralmanager-vm1,0.0594059405940594
1554989502889,20888,Manager centralmanager-vm1,0.030612244897959183
1554989503888,21887,Manager centralmanager-vm1,0.0297029702970297
1554989504889,22888,Manager centralmanager-vm1,0.049019607843137254
1554989505889,23888,Manager centralmanager-vm1,0.06930693069306931
1554989506889,24888,Manager centralmanager-vm1,0.04040404040404041
1554989507889,25888,Manager centralmanager-vm1,0.04854368932038834
1554989508889,26888,Manager centralmanager-vm1,0.030303030303030304
1554989509888,27887,Manager centralmanager-vm1,0.039603960396039604
1554989510888,28887,Manager centralmanager-vm1,0.058823529411764705
1554989511888,29887,Manager centralmanager-vm1,0.07142857142857142
1554989512889,30888,Manager centralmanager-vm1,0.0297029702970297
1554989513888,31887,Manager centralmanager-vm1,0.06862745098039216
1554989514889,32888,Manager centralmanager-vm1,0.04950495049504951
1554989515888,33887,Manager centralmanager-vm1,0.020202020202020204
1554989516888,34887,Manager centralmanager-vm1,0.030303030303030304
1554989517889,35888,Manager centralmanager-vm1,0.04
1554989518888,36887,Manager centralmanager-vm1,0.030303030303030304
1554989519889,37888,Manager centralmanager-vm1,0.02
1554989520888,38887,Manager centralmanager-vm1,0.04
1554989521889,39888,Manager centralmanager-vm1,0.0392156862745098
1554989522888,40887,Manager centralmanager-vm1,0.07216494845360824
1554989523888,41887,Manager centralmanager-vm1,0.0297029702970297
1554989524888,42887,Manager centralmanager-vm1,0.04
1554989525888,43887,Manager centralmanager-vm1,0.039603960396039604
1554989526888,44887,Manager centralmanager-vm1,0.05
1554989527888,45887,Manager centralmanager-vm1,0.01020408163265306
1554989528888,46887,Manager centralmanager-vm1,0.05940594059405941
1554989529899,47898,Manager centralmanager-vm1,0.0297029702970297
1554989530888,48887,Manager centralmanager-vm1,0.030612244897959183
1554989531898,49897,Manager centralmanager-vm1,0.0392156862745098
1554989532888,50887,Manager centralmanager-vm1,0.030612244897959183
1554989533888,51887,Manager centralmanager-vm1,0.039603960396039604
1554989534888,52887,Manager centralmanager-vm1,0.04
1554989535888,53887,Manager centralmanager-vm1,0.019801980198019802
1554989536888,54887,Manager centralmanager-vm1,0.02040816326530612
1554989537888,55887,Manager centralmanager-vm1,0.058823529411764705
1554989538888,56887,Manager centralmanager-vm1,0.04
1554989539888,57887,Manager centralmanager-vm1,0.03
1554989540888,58887,Manager centralmanager-vm1,0.039603960396039604
1554989541888,59887,Manager centralmanager-vm1,0.04950495049504951
1554989542888,60887,Manager centralmanager-vm1,0.020202020202020204
1554989543888,61887,Manager centralmanager-vm1,0.039603960396039604
1554989544888,62887,Manager centralmanager-vm1,0.16831683168316833
1554989545888,63887,Manager centralmanager-vm1,0.04
1554989546889,64888,Manager centralmanager-vm1,0.03
1554989547888,65887,Manager centralmanager-vm1,0.039603960396039604
1554989548888,66887,Manager centralmanager-vm1,0.04040404040404041
1554989549888,67887,Manager centralmanager-vm1,0.04040404040404041
1554989550898,68897,Manager centralmanager-vm1,0.010101010101010102
1554989551888,69887,Manager centralmanager-vm1,0.03
1554989552888,70887,Manager centralmanager-vm1,0.02
1554989553888,71887,Manager centralmanager-vm1,0.02
1554989554888,72887,Manager centralmanager-vm1,0.04
1554989555888,73887,Manager centralmanager-vm1,0.01
1554989556889,74888,Manager centralmanager-vm1,0.04
1554989557888,75887,Manager centralmanager-vm1,0.02
1554989558889,76888,Manager centralmanager-vm1,0.03
1554989559888,77887,Manager centralmanager-vm1,0.02
1554989560888,78887,Manager centralmanager-vm1,0.039603960396039604
1554989561888,79887,Manager centralmanager-vm1,0.020202020202020204
1554989562888,80887,Manager centralmanager-vm1,0.0
1554989563888,81887,Manager centralmanager-vm1,0.02
1554989564889,82888,Manager centralmanager-vm1,0.03
1554989565889,83888,Manager centralmanager-vm1,0.11
1554989566888,84887,Manager centralmanager-vm1,0.04
1554989567889,85888,Manager centralmanager-vm1,0.04
1554989568888,86887,Manager centralmanager-vm1,0.020618556701030927
