time (since java epoch),execution machine name,busy (ms),available (ms),busy ratio (0 to 1),available ratio (0 to 1)
1554992486833,Workstation_2,825867,2179134,0.27483085696144527,0.7251691430385547
1554992487326,Workstation_3,828183,2177806,0.27551098823049586,0.7244890117695042
1554992486701,Workstation_4,826346,2178640,0.27499163057664827,0.7250083694233517
1554992486476,Workstation_6,2999956,4748,0.9984198110695762,0.0015801889304237623
1554992487166,Workstation_7,2998244,7747,0.9974228133084896,0.002577186691510387
1554992487048,Workstation_8,2991931,14060,0.9953226739534483,0.004677326046551703
1554992486997,Workstation_10,2969263,35727,0.9881107757430141,0.01188922425698588
1554992487182,Workstation_11,2960090,45901,0.9847301605360761,0.015269839463923877
1554992486834,Workstation_12,2983339,21650,0.9927953147249458,0.007204685275054252
