nodeId,roundId,good,seqNum,active,light,value,readyOut
18,12,true,54,false,true,1,1
10,12,true,63,false,true,1,1
19,12,true,72,false,true,1,1
6,12,true,58,false,true,1,1
15,12,true,51,false,true,1,1
2,12,true,192,true,true,0,1
8,12,true,183,true,true,0,1
17,12,true,75,false,true,0,1
14,12,true,52,false,true,1,1
5,12,true,182,true,true,0,1
7,12,true,190,true,true,1,1
20,12,true,58,false,true,1,1
12,12,true,64,false,true,0,1
4,12,true,61,false,true,1,1
1,12,true,186,true,true,0,1
22,12,false,2835,true,true,0,1
9,12,true,190,true,true,1,1
13,12,true,180,true,true,0,1
21,12,false,2839,true,true,0,1
16,12,true,60,false,true,0,1
3,12,true,182,true,true,0,1
11,12,true,192,true,true,0,1
