objectCount, responseTime(ms)
2, 7
2, 8
2, 5
2, 8
2, 6
2, 4
2, 5
2, 5
2, 5
2, 8
2, 9
2, 5
2, 7
2, 6
2, 4
2, 4
2, 5
2, 10
2, 5
2, 8
3, 6
3, 6
3, 6
3, 6
3, 4
3, 6
3, 8
3, 6
3, 5
3, 5
3, 4
3, 7
3, 6
3, 5
3, 4
3, 8
3, 5
3, 6
3, 4
3, 8
5, 14
5, 7
5, 5
5, 4
5, 6
5, 8
5, 5
5, 5
5, 4
5, 4
5, 7
5, 6
5, 4
5, 5
5, 4
5, 7
5, 7
5, 5
5, 5
5, 5
7, 7
7, 6
7, 7
7, 8
7, 7
7, 5
7, 4
7, 6
7, 6
7, 6
7, 7
7, 4
7, 4
7, 6
7, 8
7, 5
7, 7
7, 5
7, 6
7, 6
