time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1555026933656,409,0.0,0.0,0.09090909090909091
1555026933809,562,0.10204081632653061,0.0,0.09090909090909091
1555026933934,687,0.10204081632653061,0.06,0.09090909090909091
1555026934646,1399,0.10204081632653061,0.06,0.03125
1555026934818,1571,0.7448979591836734,0.06,0.03125
1555026934924,1677,0.7448979591836734,0.0510204081632653,0.03125
1555026935646,2399,0.7448979591836734,0.0510204081632653,0.04081632653061224
1555026935819,2572,0.94,0.0510204081632653,0.04081632653061224
1555026935925,2678,0.94,0.06060606060606061,0.04081632653061224
1555026936646,3399,0.94,0.06060606060606061,0.041237113402061855
1555026936819,3572,0.89,0.06060606060606061,0.041237113402061855
1555026936935,3688,0.89,0.05050505050505051,0.041237113402061855
1555026937646,4399,0.89,0.05050505050505051,0.030927835051546393
1555026937819,4572,0.35789473684210527,0.05050505050505051,0.030927835051546393
1555026937934,4687,0.35789473684210527,0.020833333333333332,0.030927835051546393
1555026938646,5399,0.35789473684210527,0.020833333333333332,0.030927835051546393
1555026938819,5572,0.09677419354838711,0.020833333333333332,0.030927835051546393
1555026938924,5677,0.09677419354838711,0.2525252525252525,0.030927835051546393
1555026939646,6399,0.09677419354838711,0.2525252525252525,0.03125
1555026939809,6562,0.09890109890109891,0.2525252525252525,0.03125
1555026939934,6687,0.09890109890109891,0.7835051546391752,0.03125
1555026940646,7399,0.09890109890109891,0.7835051546391752,0.08080808080808081
1555026940809,7562,0.09574468085106383,0.7835051546391752,0.08080808080808081
1555026940938,7691,0.09574468085106383,0.7474747474747474,0.08080808080808081
1555026941646,8399,0.09574468085106383,0.7474747474747474,0.03125
1555026941819,8572,0.03260869565217391,0.7474747474747474,0.03125
1555026941935,8688,0.03260869565217391,0.1827956989247312,0.03125
1555026942656,9409,0.03260869565217391,0.1827956989247312,0.030927835051546393
1555026942819,9572,0.07446808510638298,0.1827956989247312,0.030927835051546393
1555026942934,9687,0.07446808510638298,0.4631578947368421,0.030927835051546393
1555026943647,10400,0.07446808510638298,0.4631578947368421,0.05154639175257732
1555026943819,10572,0.0736842105263158,0.4631578947368421,0.05154639175257732
1555026943924,10677,0.0736842105263158,0.054945054945054944,0.05154639175257732
1555026944646,11399,0.0736842105263158,0.054945054945054944,0.030927835051546393
1555026944809,11562,0.04395604395604396,0.054945054945054944,0.030927835051546393
1555026944934,11687,0.04395604395604396,0.0425531914893617,0.030927835051546393
1555026945646,12399,0.04395604395604396,0.0425531914893617,0.020618556701030927
1555026945819,12572,0.06382978723404255,0.0425531914893617,0.020618556701030927
1555026945925,12678,0.06382978723404255,0.05434782608695652,0.020618556701030927
1555026946645,13398,0.06382978723404255,0.05434782608695652,0.030927835051546393
1555026946819,13572,0.05319148936170213,0.05434782608695652,0.030927835051546393
1555026946925,13678,0.05319148936170213,0.03125,0.030927835051546393
1555026947646,14399,0.05319148936170213,0.03125,0.3434343434343435
