time (since java epoch),time since start (ms),machine name,load (0 to 1)
1555030848952,-55189,Manager centralmanager-vm1,0.04023630324061198
1555030849929,-54212,Manager centralmanager-vm1,0.04081632653061224
1555030850929,-53212,Manager centralmanager-vm1,0.03
1555030851929,-52212,Manager centralmanager-vm1,0.21782178217821782
1555030852939,-51202,Manager centralmanager-vm1,0.02
1555030853929,-50212,Manager centralmanager-vm1,0.04950495049504951
1555030854929,-49212,Manager centralmanager-vm1,0.04
1555030855939,-48202,Manager centralmanager-vm1,0.06796116504854369
1555030856939,-47202,Manager centralmanager-vm1,0.20792079207920794
1555030857929,-46212,Manager centralmanager-vm1,0.1326530612244898
1555030858939,-45202,Manager centralmanager-vm1,0.06
1555030859929,-44212,Manager centralmanager-vm1,0.0510204081632653
1555030860939,-43202,Manager centralmanager-vm1,0.058823529411764705
1555030861939,-42202,Manager centralmanager-vm1,0.06999999999999999
1555030862930,-41211,Manager centralmanager-vm1,0.0891089108910891
1555030863939,-40202,Manager centralmanager-vm1,0.061224489795918366
1555030864929,-39212,Manager centralmanager-vm1,0.05102040816326531
1555030865930,-38211,Manager centralmanager-vm1,0.06060606060606061
1555030866929,-37212,Manager centralmanager-vm1,0.09
1555030867939,-36202,Manager centralmanager-vm1,0.1
1555030868929,-35212,Manager centralmanager-vm1,0.09
1555030869939,-34202,Manager centralmanager-vm1,0.0808080808080808
1555030870939,-33202,Manager centralmanager-vm1,0.13131313131313133
1555030871939,-32202,Manager centralmanager-vm1,0.061224489795918366
1555030872939,-31202,Manager centralmanager-vm1,0.09
1555030873939,-30202,Manager centralmanager-vm1,0.08080808080808081
1555030874939,-29202,Manager centralmanager-vm1,0.07142857142857142
1555030875939,-28202,Manager centralmanager-vm1,0.07142857142857142
1555030876939,-27202,Manager centralmanager-vm1,0.0707070707070707
1555030877940,-26201,Manager centralmanager-vm1,0.0707070707070707
1555030878939,-25202,Manager centralmanager-vm1,0.0707070707070707
1555030879939,-24202,Manager centralmanager-vm1,0.0707070707070707
1555030880939,-23202,Manager centralmanager-vm1,0.09090909090909091
