Participants,byzantine,latency,throughput
4,1,268,3.7200997
6,1,335,2.9800043
8,1,397,2.516103
10,1,377,2.6502
--end of batch--,,,
2,0,228,4.373114
4,0,290,3.4384348
6,0,357,2.7939985
8,0,411,2.4298384
10,0,398,2.511364
2,0,214,4.659398
4,0,268,3.718578
6,0,319,3.1292048
8,0,405,2.4642074
10,0,469,2.128792
2,0,216,4.6287723
4,0,259,3.855496
6,0,357,2.7963424
8,0,406,2.4605088
10,0,444,2.2522016
2,0,207,4.815332
4,0,260,3.8423116
6,0,342,2.9209871
8,0,372,2.6867275
10,0,426,2.3453257
2,0,216,4.6227813
4,0,260,3.833768
6,0,341,2.9286008
8,0,349,2.8626227
10,0,396,2.5251887
2,0,216,4.6136103
4,0,256,3.8998518
6,0,338,2.955956
8,0,390,2.5595741
10,0,469,2.1317415
2,0,213,4.6770496
4,0,269,3.7090611
6,0,354,2.8221483
8,0,414,2.4153423
10,0,433,2.306486
2,0,225,4.441286
4,0,263,3.7943466
6,0,347,2.8752983
8,0,393,2.5389087
10,0,388,2.5740688
2,0,217,4.58884
4,0,268,3.726199
6,0,340,2.9352198
8,0,345,2.8941045
10,0,471,2.120936
2,0,213,4.694395
4,0,262,3.8083632
6,0,347,2.8815124
8,0,429,2.3296447
10,0,473,2.1140308
2,1,215,4.6356387
4,1,296,3.3782642
6,1,350,2.8558373
8,1,425,2.3489618
10,1,499,2.0030847
2,1,218,4.5867352
4,1,282,3.5368183
6,1,341,2.9322073
8,1,433,2.3064327
10,1,481,2.0751624
2,1,217,4.598758
4,1,294,3.392936
6,1,346,2.8848372
8,1,419,2.384245
10,1,410,2.4342153
2,1,205,4.86334
4,1,293,3.4018233
6,1,341,2.9291155
8,1,380,2.6292264
10,1,417,2.3968744
2,1,211,4.7209897
4,1,294,3.3963928
6,1,343,2.9081602
8,1,424,2.3574898
10,1,374,2.6673067
2,1,221,4.5103965
4,1,293,3.403792
6,1,351,2.845112
10,1,487,2.0497265
2,1,215,4.6330614
4,1,286,3.485778
6,1,356,2.8029263
8,1,397,2.5173066
10,1,490,2.038445
2,1,224,4.449388
4,1,287,3.4833496
6,1,355,2.809462
8,1,440,2.2708693
10,1,480,2.082856
2,1,214,4.657445
4,1,288,3.4705353
6,1,354,2.820238
8,1,439,2.2736056
10,1,484,2.0641115
4,1,293,3.4100597
6,1,349,2.859267
8,1,419,2.3858376
10,1,443,2.2534704
--end of batch--,,,
4,1,334,2.9867687
6,1,365,2.7337341
8,1,462,2.163706
2,1,245,4.0738173
4,1,302,3.3078628
6,1,333,2.996165
8,1,453,2.2027402
10,1,472,2.1181054
2,1,210,4.75579
6,1,349,2.8648372
8,1,441,2.2631602
10,1,437,2.2852442
2,1,215,4.6371436
4,1,261,3.8261402
6,1,337,2.961208
8,1,436,2.2891152
10,1,445,2.2427056
2,1,221,4.5201826
4,1,297,3.3561552
6,1,321,3.1095493
8,1,381,2.6224694
10,1,585,1.7077961
2,1,216,4.623422
4,1,296,3.3781502
6,1,349,2.8596756
8,1,409,2.4404528
10,1,502,1.9887832
2,1,212,4.7145348
6,1,348,2.8690288
8,1,427,2.3406048
10,1,487,2.0493062
2,1,218,4.580013
4,1,287,3.478503
6,1,355,2.8120694
8,1,410,2.4377165
10,1,376,2.65569
2,1,216,4.622995
4,1,291,3.4337122
6,1,315,3.1713815
8,1,414,2.4131856
10,1,483,2.070179
2,1,213,4.690212
4,1,287,3.4815304
6,1,349,2.862541
8,1,408,2.4499595
10,1,431,2.3155117
--end of byzantine batch--,,,
