nodeId,roundId,good,seqNum,active,light,value,readyOut
8,12,true,240,true,true,1,1
3,12,true,234,true,true,1,1
10,12,true,227,true,true,1,1
17,12,true,82,false,true,1,1
9,12,true,85,false,true,1,1
5,12,true,241,true,true,1,1
7,12,true,230,true,true,1,1
13,12,true,235,true,true,1,1
1,12,true,86,false,true,1,1
16,12,true,241,true,true,1,1
14,12,true,242,true,true,1,1
11,12,true,240,true,true,1,1
21,12,false,5173,true,true,1,1
22,12,false,5168,true,true,1,1
19,12,true,234,true,true,1,1
2,12,true,233,true,true,1,1
18,12,true,93,false,true,1,1
12,12,true,105,false,true,1,1
20,12,true,235,true,true,1,1
6,12,true,84,false,true,1,1
15,12,true,93,false,true,1,1
4,12,true,242,true,true,1,1
