time (since java epoch),execution machine name,busy (ms),available (ms),busy ratio (0 to 1),available ratio (0 to 1)
1555073264410,Workstation_2,427177,90830,0.8246548791811694,0.17534512081883064
1555073263894,Workstation_3,330720,187280,0.6384555984555984,0.36154440154440154
1555073264098,Workstation_4,441759,76240,0.8528182486838778,0.14718175131612224
1555073264208,Workstation_6,510717,7277,0.9859515747286648,0.014048425271335188
1555073263915,Workstation_7,508223,9774,0.9811311648523061,0.018868835147693906
1555073264104,Workstation_8,508824,9174,0.9822895069092931,0.017710493090706915
1555073264425,Workstation_10,378620,140386,0.7295098707914744,0.27049012920852555
1555073263840,Workstation_11,439482,78517,0.848422487302099,0.15157751269790096
1555073263949,Workstation_12,268423,249575,0.5181931204367585,0.48180687956324153
