time (since java epoch),execution machine name,busy (ms),available (ms),busy ratio (0 to 1),available ratio (0 to 1)
1555062673505,Workstation_2,416633,83373,0.8332560009279889,0.16674399907201112
1555062674057,Workstation_3,303304,197689,0.6054056643505997,0.3945943356494003
1555062673505,Workstation_4,390162,110836,0.7787695759264508,0.2212304240735492
1555062673927,Workstation_6,493330,7673,0.9846847224467717,0.015315277553228224
1555062673587,Workstation_7,493589,7406,0.9852174173394944,0.014782582660505594
1555062673952,Workstation_8,491790,9206,0.9816246037892518,0.01837539621074819
1555062673395,Workstation_10,421821,78175,0.8436487491899936,0.15635125081000648
1555062674255,Workstation_11,365559,135438,0.7296630518745622,0.2703369481254379
1555062673577,Workstation_12,437340,63657,0.8729393589183169,0.12706064108168313
