time (since java epoch),time since start (ms),machine name,load (0 to 1)
1555000057723,-102432,Manager centralmanager-vm1,0.009078072864614817
1555000058709,-101446,Manager centralmanager-vm1,0.020618556701030927
1555000059709,-100446,Manager centralmanager-vm1,0.03
1555000060709,-99446,Manager centralmanager-vm1,0.24
1555000061719,-98436,Manager centralmanager-vm1,0.03
1555000062709,-97446,Manager centralmanager-vm1,0.030612244897959183
1555000063709,-96446,Manager centralmanager-vm1,0.1313131313131313
1555000064709,-95446,Manager centralmanager-vm1,0.020202020202020204
1555000065709,-94446,Manager centralmanager-vm1,0.020202020202020204
1555000066709,-93446,Manager centralmanager-vm1,0.020202020202020204
1555000067709,-92446,Manager centralmanager-vm1,0.03
1555000068709,-91446,Manager centralmanager-vm1,0.03
1555000069709,-90446,Manager centralmanager-vm1,0.06999999999999999
1555000070719,-89436,Manager centralmanager-vm1,0.05
1555000071709,-88446,Manager centralmanager-vm1,0.041237113402061855
1555000072719,-87436,Manager centralmanager-vm1,0.0297029702970297
1555000073709,-86446,Manager centralmanager-vm1,0.020202020202020204
1555000074709,-85446,Manager centralmanager-vm1,0.020202020202020204
1555000075709,-84446,Manager centralmanager-vm1,0.02
1555000076709,-83446,Manager centralmanager-vm1,0.03
1555000077709,-82446,Manager centralmanager-vm1,0.020202020202020204
1555000078709,-81446,Manager centralmanager-vm1,0.05
1555000079719,-80436,Manager centralmanager-vm1,0.020202020202020204
1555000080709,-79446,Manager centralmanager-vm1,0.05
1555000081709,-78446,Manager centralmanager-vm1,0.020202020202020204
1555000082709,-77446,Manager centralmanager-vm1,0.020202020202020204
1555000083709,-76446,Manager centralmanager-vm1,0.01020408163265306
1555000084709,-75446,Manager centralmanager-vm1,0.03
1555000085709,-74446,Manager centralmanager-vm1,0.03
1555000086709,-73446,Manager centralmanager-vm1,0.020202020202020204
1555000087708,-72447,Manager centralmanager-vm1,0.05
1555000088719,-71436,Manager centralmanager-vm1,0.019801980198019802
1555000089709,-70446,Manager centralmanager-vm1,0.030303030303030304
1555000090709,-69446,Manager centralmanager-vm1,0.03
1555000091709,-68446,Manager centralmanager-vm1,0.020202020202020204
1555000092709,-67446,Manager centralmanager-vm1,0.030303030303030304
1555000093709,-66446,Manager centralmanager-vm1,0.03
1555000094719,-65436,Manager centralmanager-vm1,0.0297029702970297
1555000095709,-64446,Manager centralmanager-vm1,0.02040816326530612
1555000096709,-63446,Manager centralmanager-vm1,0.06060606060606061
1555000097709,-62446,Manager centralmanager-vm1,0.039603960396039604
