time (since java epoch),time since start (ms),machine name,load (0 to 1)
1555064028324,-69883,Manager centralmanager-vm1,0.024065129296017403
1555064029310,-68897,Manager centralmanager-vm1,0.030927835051546393
1555064030313,-67894,Manager centralmanager-vm1,0.02040816326530612
1555064031310,-66897,Manager centralmanager-vm1,0.24242424242424243
1555064032310,-65897,Manager centralmanager-vm1,0.01020408163265306
1555064033310,-64897,Manager centralmanager-vm1,0.0510204081632653
1555064034320,-63887,Manager centralmanager-vm1,0.020202020202020204
1555064035310,-62897,Manager centralmanager-vm1,0.030927835051546393
1555064036310,-61897,Manager centralmanager-vm1,0.1326530612244898
1555064037320,-60887,Manager centralmanager-vm1,0.16842105263157894
1555064038320,-59887,Manager centralmanager-vm1,0.0510204081632653
1555064039310,-58897,Manager centralmanager-vm1,0.05208333333333333
1555064040320,-57887,Manager centralmanager-vm1,0.061855670103092786
1555064041311,-56896,Manager centralmanager-vm1,0.061855670103092786
1555064042310,-55897,Manager centralmanager-vm1,0.041666666666666664
1555064043310,-54897,Manager centralmanager-vm1,0.06060606060606061
1555064044311,-53896,Manager centralmanager-vm1,0.041237113402061855
1555064045310,-52897,Manager centralmanager-vm1,0.0425531914893617
1555064046321,-51886,Manager centralmanager-vm1,0.08163265306122448
1555064047320,-50887,Manager centralmanager-vm1,0.07216494845360824
1555064048310,-49897,Manager centralmanager-vm1,0.09473684210526315
1555064049320,-48887,Manager centralmanager-vm1,0.0625
1555064050311,-47896,Manager centralmanager-vm1,0.08247422680412371
1555064051321,-46886,Manager centralmanager-vm1,0.061855670103092786
1555064052310,-45897,Manager centralmanager-vm1,0.0625
1555064053320,-44887,Manager centralmanager-vm1,0.061224489795918366
1555064054320,-43887,Manager centralmanager-vm1,0.07142857142857142
1555064055310,-42897,Manager centralmanager-vm1,0.0736842105263158
1555064056321,-41886,Manager centralmanager-vm1,0.06060606060606061
1555064057310,-40897,Manager centralmanager-vm1,0.0625
1555064058320,-39887,Manager centralmanager-vm1,0.07142857142857142
1555064059311,-38896,Manager centralmanager-vm1,0.08247422680412371
1555064060320,-37887,Manager centralmanager-vm1,0.06060606060606061
1555064061310,-36897,Manager centralmanager-vm1,0.05319148936170213
1555064062320,-35887,Manager centralmanager-vm1,0.07291666666666667
1555064063320,-34887,Manager centralmanager-vm1,0.09999999999999999
1555064064320,-33887,Manager centralmanager-vm1,0.0625
1555064065320,-32887,Manager centralmanager-vm1,0.07142857142857142
1555064066320,-31887,Manager centralmanager-vm1,0.0625
1555064067320,-30887,Manager centralmanager-vm1,0.08333333333333333
1555064068310,-29897,Manager centralmanager-vm1,0.08421052631578947
1555064069320,-28887,Manager centralmanager-vm1,0.041237113402061855
1555064070310,-27897,Manager centralmanager-vm1,0.08247422680412371
1555064071320,-26887,Manager centralmanager-vm1,0.05208333333333333
1555064072320,-25887,Manager centralmanager-vm1,0.07142857142857142
1555064073310,-24897,Manager centralmanager-vm1,0.06315789473684211
1555064074320,-23887,Manager centralmanager-vm1,0.041237113402061855
1555064075310,-22897,Manager centralmanager-vm1,0.0625
1555064076311,-21896,Manager centralmanager-vm1,0.0425531914893617
1555064077320,-20887,Manager centralmanager-vm1,0.061224489795918366
1555064078311,-19896,Manager centralmanager-vm1,0.0851063829787234
1555064079320,-18887,Manager centralmanager-vm1,0.07142857142857142
1555064080310,-17897,Manager centralmanager-vm1,0.05263157894736842
1555064081310,-16897,Manager centralmanager-vm1,0.05208333333333333
1555064082310,-15897,Manager centralmanager-vm1,0.042105263157894736
1555064083310,-14897,Manager centralmanager-vm1,0.07216494845360824
1555064084321,-13886,Manager centralmanager-vm1,0.07216494845360824
1555064085321,-12886,Manager centralmanager-vm1,0.041666666666666664
1555064086310,-11897,Manager centralmanager-vm1,0.042105263157894736
1555064087312,-10895,Manager centralmanager-vm1,0.041666666666666664
1555064088310,-9897,Manager centralmanager-vm1,0.06185567010309278
1555064089310,-8897,Manager centralmanager-vm1,0.042105263157894736
1555064090320,-7887,Manager centralmanager-vm1,0.0510204081632653
1555064091310,-6897,Manager centralmanager-vm1,0.042105263157894736
1555064092311,-5896,Manager centralmanager-vm1,0.042105263157894736
1555064093320,-4887,Manager centralmanager-vm1,0.041666666666666664
1555064094321,-3886,Manager centralmanager-vm1,0.07142857142857142
1555064095320,-2887,Manager centralmanager-vm1,0.05319148936170213
1555064096320,-1887,Manager centralmanager-vm1,0.05154639175257732
1555064097312,-895,Manager centralmanager-vm1,0.031578947368421054
1555064098310,103,Manager centralmanager-vm1,0.09375
1555064099310,1103,Manager centralmanager-vm1,0.19791666666666666
1555064100320,2113,Manager centralmanager-vm1,0.6666666666666666
1555064101320,3113,Manager centralmanager-vm1,0.5
1555064102320,4113,Manager centralmanager-vm1,0.08888888888888889
1555064103320,5113,Manager centralmanager-vm1,0.06593406593406594
1555064104320,6113,Manager centralmanager-vm1,0.06382978723404255
1555064105320,7113,Manager centralmanager-vm1,0.07526881720430108
1555064106320,8113,Manager centralmanager-vm1,0.011235955056179775
1555064107310,9103,Manager centralmanager-vm1,0.04081632653061224
1555064108310,10103,Manager centralmanager-vm1,0.020618556701030927
1555064109310,11103,Manager centralmanager-vm1,0.03125
1555064110310,12103,Manager centralmanager-vm1,0.05154639175257732
1555064111320,13113,Manager centralmanager-vm1,0.010309278350515464
1555064112310,14103,Manager centralmanager-vm1,0.021052631578947368
1555064113320,15113,Manager centralmanager-vm1,0.04081632653061224
1555064114310,16103,Manager centralmanager-vm1,0.05154639175257732
1555064115320,17113,Manager centralmanager-vm1,0.020618556701030927
1555064116310,18103,Manager centralmanager-vm1,0.041237113402061855
1555064117320,19113,Manager centralmanager-vm1,0.04081632653061224
1555064118310,20103,Manager centralmanager-vm1,0.020833333333333332
1555064119310,21103,Manager centralmanager-vm1,0.03125
1555064120320,22113,Manager centralmanager-vm1,0.15151515151515152
1555064121320,23113,Manager centralmanager-vm1,0.05154639175257732
1555064122310,24103,Manager centralmanager-vm1,0.05154639175257732
1555064123320,25113,Manager centralmanager-vm1,0.04040404040404041
1555064124320,26113,Manager centralmanager-vm1,0.010526315789473684
1555064125310,27103,Manager centralmanager-vm1,0.10416666666666667
1555064126311,28104,Manager centralmanager-vm1,0.34375
1555064127310,29103,Manager centralmanager-vm1,0.020618556701030927
1555064128310,30103,Manager centralmanager-vm1,0.041237113402061855
1555064129310,31103,Manager centralmanager-vm1,0.04081632653061224
1555064130320,32113,Manager centralmanager-vm1,0.020618556701030927
1555064131310,33103,Manager centralmanager-vm1,0.041237113402061855
1555064132310,34103,Manager centralmanager-vm1,0.021052631578947368
1555064133310,35103,Manager centralmanager-vm1,0.061224489795918366
1555064134320,36113,Manager centralmanager-vm1,0.010309278350515464
1555064135310,37103,Manager centralmanager-vm1,0.021052631578947368
1555064136310,38103,Manager centralmanager-vm1,0.05102040816326531
1555064137320,39113,Manager centralmanager-vm1,0.061855670103092786
1555064138310,40103,Manager centralmanager-vm1,0.03125
1555064139310,41103,Manager centralmanager-vm1,0.125
