time (since java epoch),machine name,load (0 to 1)
1555064098310,103,Manager centralmanager-vm1,0.09375
1555064099310,1103,Manager centralmanager-vm1,0.19791666666666666
1555064100320,2113,Manager centralmanager-vm1,0.6666666666666666
1555064101320,3113,Manager centralmanager-vm1,0.5
1555064102320,4113,Manager centralmanager-vm1,0.08888888888888889
1555064103320,5113,Manager centralmanager-vm1,0.06593406593406594
1555064104320,6113,Manager centralmanager-vm1,0.06382978723404255
1555064105320,7113,Manager centralmanager-vm1,0.07526881720430108
1555064106320,8113,Manager centralmanager-vm1,0.011235955056179775
1555064107310,9103,Manager centralmanager-vm1,0.04081632653061224
1555064108310,10103,Manager centralmanager-vm1,0.020618556701030927
1555064109310,11103,Manager centralmanager-vm1,0.03125
1555064110310,12103,Manager centralmanager-vm1,0.05154639175257732
1555064111320,13113,Manager centralmanager-vm1,0.010309278350515464
1555064112310,14103,Manager centralmanager-vm1,0.021052631578947368
1555064113320,15113,Manager centralmanager-vm1,0.04081632653061224
1555064114310,16103,Manager centralmanager-vm1,0.05154639175257732
1555064115320,17113,Manager centralmanager-vm1,0.020618556701030927
1555064116310,18103,Manager centralmanager-vm1,0.041237113402061855
1555064117320,19113,Manager centralmanager-vm1,0.04081632653061224
1555064118310,20103,Manager centralmanager-vm1,0.020833333333333332
1555064119310,21103,Manager centralmanager-vm1,0.03125
1555064120320,22113,Manager centralmanager-vm1,0.15151515151515152
1555064121320,23113,Manager centralmanager-vm1,0.05154639175257732
1555064122310,24103,Manager centralmanager-vm1,0.05154639175257732
1555064123320,25113,Manager centralmanager-vm1,0.04040404040404041
1555064124320,26113,Manager centralmanager-vm1,0.010526315789473684
1555064125310,27103,Manager centralmanager-vm1,0.10416666666666667
1555064126311,28104,Manager centralmanager-vm1,0.34375
1555064127310,29103,Manager centralmanager-vm1,0.020618556701030927
1555064128310,30103,Manager centralmanager-vm1,0.041237113402061855
1555064129310,31103,Manager centralmanager-vm1,0.04081632653061224
1555064130320,32113,Manager centralmanager-vm1,0.020618556701030927
1555064131310,33103,Manager centralmanager-vm1,0.041237113402061855
1555064132310,34103,Manager centralmanager-vm1,0.021052631578947368
1555064133310,35103,Manager centralmanager-vm1,0.061224489795918366
1555064134320,36113,Manager centralmanager-vm1,0.010309278350515464
1555064135310,37103,Manager centralmanager-vm1,0.021052631578947368
1555064136310,38103,Manager centralmanager-vm1,0.05102040816326531
1555064137320,39113,Manager centralmanager-vm1,0.061855670103092786
1555064138310,40103,Manager centralmanager-vm1,0.03125
1555064139310,41103,Manager centralmanager-vm1,0.125
1555064140310,42103,Manager centralmanager-vm1,0.030612244897959183
1555064141310,43103,Manager centralmanager-vm1,0.030927835051546393
1555064142310,44103,Manager centralmanager-vm1,0.030927835051546393
1555064143310,45103,Manager centralmanager-vm1,0.030927835051546393
1555064144310,46103,Manager centralmanager-vm1,0.05208333333333333
1555064145320,47113,Manager centralmanager-vm1,0.05050505050505051
1555064146310,48103,Manager centralmanager-vm1,0.052083333333333336
1555064147320,49113,Manager centralmanager-vm1,0.030303030303030304
1555064148310,50103,Manager centralmanager-vm1,0.15463917525773194
1555064149320,51113,Manager centralmanager-vm1,0.288659793814433
1555064150320,52113,Manager centralmanager-vm1,0.030303030303030304
1555064151310,53103,Manager centralmanager-vm1,0.10416666666666667
1555064152320,54113,Manager centralmanager-vm1,0.0808080808080808
1555064153320,55113,Manager centralmanager-vm1,0.020618556701030927
1555064154310,56103,Manager centralmanager-vm1,0.041237113402061855
1555064155312,57105,Manager centralmanager-vm1,0.010416666666666666
1555064156310,58103,Manager centralmanager-vm1,0.03125
1555064157320,59113,Manager centralmanager-vm1,0.030303030303030304
1555064158320,60113,Manager centralmanager-vm1,0.020833333333333332
1555064159310,61103,Manager centralmanager-vm1,0.041237113402061855
1555064160310,62103,Manager centralmanager-vm1,0.030927835051546393
1555064161310,63103,Manager centralmanager-vm1,0.020618556701030927
1555064162310,64103,Manager centralmanager-vm1,0.030612244897959183
1555064163310,65103,Manager centralmanager-vm1,0.030927835051546393
1555064164310,66103,Manager centralmanager-vm1,0.020833333333333332
1555064165310,67103,Manager centralmanager-vm1,0.020618556701030927
1555064166310,68103,Manager centralmanager-vm1,0.020833333333333332
1555064167310,69103,Manager centralmanager-vm1,0.020618556701030927
1555064168310,70103,Manager centralmanager-vm1,0.020833333333333332
1555064169310,71103,Manager centralmanager-vm1,0.010526315789473684
1555064170310,72103,Manager centralmanager-vm1,0.030612244897959183
1555064171311,73104,Manager centralmanager-vm1,0.041237113402061855
1555064172320,74113,Manager centralmanager-vm1,0.010416666666666666
1555064173310,75103,Manager centralmanager-vm1,0.031578947368421054
1555064174310,76103,Manager centralmanager-vm1,0.0
1555064175310,77103,Manager centralmanager-vm1,0.041237113402061855
1555064176310,78103,Manager centralmanager-vm1,0.031914893617021274
1555064177310,79103,Manager centralmanager-vm1,0.04081632653061224
1555064178310,80103,Manager centralmanager-vm1,0.07291666666666667
1555064179310,81103,Manager centralmanager-vm1,0.020618556701030927
1555064180310,82103,Manager centralmanager-vm1,0.010526315789473684
1555064181310,83103,Manager centralmanager-vm1,0.04081632653061224
1555064182310,84103,Manager centralmanager-vm1,0.030927835051546393
1555064183310,85103,Manager centralmanager-vm1,0.010416666666666666
1555064184310,86103,Manager centralmanager-vm1,0.041237113402061855
1555064185320,87113,Manager centralmanager-vm1,0.061224489795918366
1555064186320,88113,Manager centralmanager-vm1,0.030927835051546393
1555064187310,89103,Manager centralmanager-vm1,0.010526315789473684
1555064188310,90103,Manager centralmanager-vm1,0.020618556701030927
1555064189310,91103,Manager centralmanager-vm1,0.02040816326530612
1555064190310,92103,Manager centralmanager-vm1,0.020833333333333332
1555064191310,93103,Manager centralmanager-vm1,0.030927835051546393
1555064192310,94103,Manager centralmanager-vm1,0.020833333333333332
1555064193310,95103,Manager centralmanager-vm1,0.04081632653061224
1555064194310,96103,Manager centralmanager-vm1,0.020833333333333332
1555064195310,97103,Manager centralmanager-vm1,0.030927835051546393
1555064196310,98103,Manager centralmanager-vm1,0.020618556701030927
1555064197310,99103,Manager centralmanager-vm1,0.020618556701030927
1555064198310,100103,Manager centralmanager-vm1,0.021052631578947368
1555064199310,101103,Manager centralmanager-vm1,0.020833333333333332
1555064200310,102103,Manager centralmanager-vm1,0.021052631578947368
1555064201310,103103,Manager centralmanager-vm1,0.05154639175257732
1555064202310,104103,Manager centralmanager-vm1,0.020833333333333332
1555064203310,105103,Manager centralmanager-vm1,0.03125
1555064204310,106103,Manager centralmanager-vm1,0.010416666666666666
1555064205310,107103,Manager centralmanager-vm1,0.06185567010309278
1555064206320,108113,Manager centralmanager-vm1,0.041237113402061855
1555064207310,109103,Manager centralmanager-vm1,0.14285714285714285
1555064208320,110113,Manager centralmanager-vm1,0.336734693877551
1555064209320,111113,Manager centralmanager-vm1,0.17708333333333334
1555064210310,112103,Manager centralmanager-vm1,0.02127659574468085
1555064211310,113103,Manager centralmanager-vm1,0.010526315789473684
1555064212310,114103,Manager centralmanager-vm1,0.030927835051546393
1555064213310,115103,Manager centralmanager-vm1,0.010526315789473684
1555064214310,116103,Manager centralmanager-vm1,0.020833333333333332
1555064215310,117103,Manager centralmanager-vm1,0.021052631578947368
1555064216310,118103,Manager centralmanager-vm1,0.0
1555064217310,119103,Manager centralmanager-vm1,0.020833333333333332
1555064218310,120103,Manager centralmanager-vm1,0.041666666666666664
1555064219310,121103,Manager centralmanager-vm1,0.10204081632653061
1555064220321,122114,Manager centralmanager-vm1,0.06382978723404255
1555064221320,123113,Manager centralmanager-vm1,0.030927835051546393
1555064222310,124103,Manager centralmanager-vm1,0.021505376344086023
1555064223320,125113,Manager centralmanager-vm1,0.030927835051546393
1555064224310,126103,Manager centralmanager-vm1,0.042105263157894736
1555064225310,127103,Manager centralmanager-vm1,0.010638297872340425
1555064226311,128104,Manager centralmanager-vm1,0.031578947368421054
1555064227310,129103,Manager centralmanager-vm1,0.03125
1555064228310,130103,Manager centralmanager-vm1,0.010526315789473684
1555064229310,131103,Manager centralmanager-vm1,0.15463917525773196
1555064230320,132113,Manager centralmanager-vm1,0.13541666666666666
1555064231310,133103,Manager centralmanager-vm1,0.042105263157894736
1555064232310,134103,Manager centralmanager-vm1,0.010416666666666666
1555064233310,135103,Manager centralmanager-vm1,0.021052631578947368
1555064234310,136103,Manager centralmanager-vm1,0.021052631578947368
1555064235310,137103,Manager centralmanager-vm1,0.020618556701030927
1555064236310,138103,Manager centralmanager-vm1,0.010526315789473684
1555064237310,139103,Manager centralmanager-vm1,0.041666666666666664
1555064238310,140103,Manager centralmanager-vm1,0.021052631578947368
1555064239310,141103,Manager centralmanager-vm1,0.010638297872340425
1555064240310,142103,Manager centralmanager-vm1,0.030927835051546393
1555064241311,143104,Manager centralmanager-vm1,0.021052631578947368
1555064242310,144103,Manager centralmanager-vm1,0.030927835051546393
1555064243310,145103,Manager centralmanager-vm1,0.010638297872340425
1555064244310,146103,Manager centralmanager-vm1,0.041237113402061855
1555064245310,147103,Manager centralmanager-vm1,0.010638297872340425
1555064246310,148103,Manager centralmanager-vm1,0.08247422680412371
1555064247310,149103,Manager centralmanager-vm1,0.021052631578947368
1555064248310,150103,Manager centralmanager-vm1,0.021052631578947368
1555064249310,151103,Manager centralmanager-vm1,0.07291666666666667
1555064250320,152113,Manager centralmanager-vm1,0.02040816326530612
1555064251310,153103,Manager centralmanager-vm1,0.010638297872340425
1555064252310,154103,Manager centralmanager-vm1,0.03125
