nodeId,roundId,good,seqNum,active,light,value,readyOut
15,12,true,243,true,true,1,1
5,12,true,237,true,true,1,1
2,12,true,91,false,true,1,1
10,12,true,231,true,true,0,1
1,12,true,237,true,true,1,1
12,12,true,224,true,true,1,1
16,12,true,239,true,true,1,1
18,12,true,227,true,true,1,1
8,12,true,229,true,true,1,1
13,12,true,86,false,true,1,1
3,12,true,235,true,true,1,1
14,12,true,223,true,true,1,1
20,12,true,86,false,true,1,1
17,12,true,233,true,true,1,1
4,12,true,230,true,true,1,1
11,12,true,80,false,true,1,1
9,12,true,85,false,true,1,1
7,12,true,83,false,true,1,1
21,12,false,216,true,true,1,1
6,12,true,92,false,true,1,1
19,12,true,236,true,true,1,1
