time (since java epoch),time since start (ms),machine name,load (0 to 1)
1554992619253,-121967,Manager centralmanager-vm1,0.008895022543294108
1554992620241,-120979,Manager centralmanager-vm1,0.04081632653061224
1554992621231,-119989,Manager centralmanager-vm1,0.04
1554992622230,-118990,Manager centralmanager-vm1,0.04040404040404041
1554992623230,-117990,Manager centralmanager-vm1,0.12
1554992624250,-116970,Manager centralmanager-vm1,0.04950495049504951
1554992625240,-115980,Manager centralmanager-vm1,0.030303030303030304
1554992626240,-114980,Manager centralmanager-vm1,0.049019607843137254
1554992627231,-113989,Manager centralmanager-vm1,0.03
1554992628231,-112989,Manager centralmanager-vm1,0.039603960396039604
1554992629230,-111990,Manager centralmanager-vm1,0.039603960396039604
1554992630240,-110980,Manager centralmanager-vm1,0.09803921568627451
1554992631230,-109990,Manager centralmanager-vm1,0.030927835051546393
1554992632230,-108990,Manager centralmanager-vm1,0.020202020202020204
1554992633240,-107980,Manager centralmanager-vm1,0.029411764705882353
1554992634240,-106980,Manager centralmanager-vm1,0.039603960396039604
1554992635230,-105990,Manager centralmanager-vm1,0.020202020202020204
1554992636240,-104980,Manager centralmanager-vm1,0.039603960396039604
1554992637230,-103990,Manager centralmanager-vm1,0.04040404040404041
1554992638230,-102990,Manager centralmanager-vm1,0.02040816326530612
1554992639241,-101979,Manager centralmanager-vm1,0.0392156862745098
1554992640230,-100990,Manager centralmanager-vm1,0.030612244897959183
1554992641241,-99979,Manager centralmanager-vm1,0.0297029702970297
1554992642230,-98990,Manager centralmanager-vm1,0.04040404040404041
1554992643240,-97980,Manager centralmanager-vm1,0.0392156862745098
1554992644241,-96979,Manager centralmanager-vm1,0.020202020202020204
1554992645231,-95989,Manager centralmanager-vm1,0.04950495049504951
1554992646231,-94989,Manager centralmanager-vm1,0.030303030303030304
1554992647230,-93990,Manager centralmanager-vm1,0.0392156862745098
1554992648230,-92990,Manager centralmanager-vm1,0.020202020202020204
1554992649241,-91979,Manager centralmanager-vm1,0.0297029702970297
1554992650230,-90990,Manager centralmanager-vm1,0.030303030303030304
1554992651240,-89980,Manager centralmanager-vm1,0.0392156862745098
1554992652240,-88980,Manager centralmanager-vm1,0.03
1554992653240,-87980,Manager centralmanager-vm1,0.03
1554992654241,-86979,Manager centralmanager-vm1,0.06999999999999999
1554992655230,-85990,Manager centralmanager-vm1,0.02040816326530612
1554992656240,-84980,Manager centralmanager-vm1,0.0392156862745098
1554992657240,-83980,Manager centralmanager-vm1,0.03
1554992658230,-82990,Manager centralmanager-vm1,0.04
1554992659240,-81980,Manager centralmanager-vm1,0.02
1554992660241,-80979,Manager centralmanager-vm1,0.039603960396039604
1554992661230,-79990,Manager centralmanager-vm1,0.030303030303030304
1554992662240,-78980,Manager centralmanager-vm1,0.01
1554992663240,-77980,Manager centralmanager-vm1,0.039603960396039604
1554992664231,-76989,Manager centralmanager-vm1,0.02040816326530612
1554992665230,-75990,Manager centralmanager-vm1,0.0297029702970297
1554992666231,-74989,Manager centralmanager-vm1,0.03
1554992667230,-73990,Manager centralmanager-vm1,0.020202020202020204
1554992668240,-72980,Manager centralmanager-vm1,0.019801980198019802
1554992669240,-71980,Manager centralmanager-vm1,0.04
1554992670240,-70980,Manager centralmanager-vm1,0.020202020202020204
1554992671240,-69980,Manager centralmanager-vm1,0.0297029702970297
1554992672231,-68989,Manager centralmanager-vm1,0.030303030303030304
1554992673230,-67990,Manager centralmanager-vm1,0.039603960396039604
1554992674231,-66989,Manager centralmanager-vm1,0.04950495049504951
1554992675240,-65980,Manager centralmanager-vm1,0.02
1554992676230,-64990,Manager centralmanager-vm1,0.030303030303030304
1554992677240,-63980,Manager centralmanager-vm1,0.04854368932038834
1554992678241,-62979,Manager centralmanager-vm1,0.049019607843137254
1554992679230,-61990,Manager centralmanager-vm1,0.02040816326530612
1554992680240,-60980,Manager centralmanager-vm1,0.0297029702970297
1554992681230,-59990,Manager centralmanager-vm1,0.030303030303030304
1554992682230,-58990,Manager centralmanager-vm1,0.020202020202020204
1554992683230,-57990,Manager centralmanager-vm1,0.05825242718446602
1554992684230,-56990,Manager centralmanager-vm1,0.030303030303030304
1554992685230,-55990,Manager centralmanager-vm1,0.0392156862745098
1554992686240,-54980,Manager centralmanager-vm1,0.039603960396039604
1554992687241,-53979,Manager centralmanager-vm1,0.02
1554992688230,-52990,Manager centralmanager-vm1,0.02040816326530612
1554992689230,-51990,Manager centralmanager-vm1,0.05
1554992690240,-50980,Manager centralmanager-vm1,0.0297029702970297
1554992691240,-49980,Manager centralmanager-vm1,0.04950495049504951
1554992692240,-48980,Manager centralmanager-vm1,0.04
1554992693231,-47989,Manager centralmanager-vm1,0.020202020202020204
1554992694231,-46989,Manager centralmanager-vm1,0.030303030303030304
1554992695230,-45990,Manager centralmanager-vm1,0.03
1554992696231,-44989,Manager centralmanager-vm1,0.020202020202020204
1554992697230,-43990,Manager centralmanager-vm1,0.039603960396039604
1554992698230,-42990,Manager centralmanager-vm1,0.04
1554992699240,-41980,Manager centralmanager-vm1,0.0392156862745098
1554992700240,-40980,Manager centralmanager-vm1,0.03
1554992701240,-39980,Manager centralmanager-vm1,0.039603960396039604
