time (since java epoch),machine name,load (0 to 1)
1554992741240,20,Manager centralmanager-vm1,0.04
1554992742241,1021,Manager centralmanager-vm1,0.039603960396039604
1554992743231,2011,Manager centralmanager-vm1,0.020618556701030927
1554992744230,3010,Manager centralmanager-vm1,0.049019607843137254
1554992745240,4020,Manager centralmanager-vm1,0.03
1554992746241,5021,Manager centralmanager-vm1,0.04950495049504951
1554992747231,6011,Manager centralmanager-vm1,0.05
1554992748230,7010,Manager centralmanager-vm1,0.05940594059405941
1554992749240,8020,Manager centralmanager-vm1,0.3163265306122449
1554992750250,9030,Manager centralmanager-vm1,0.22222222222222224
1554992751230,10010,Manager centralmanager-vm1,0.020833333333333332
1554992752230,11010,Manager centralmanager-vm1,0.01020408163265306
1554992753230,12010,Manager centralmanager-vm1,0.0693069306930693
1554992754240,13020,Manager centralmanager-vm1,0.04854368932038835
1554992755230,14010,Manager centralmanager-vm1,0.030612244897959183
1554992756241,15021,Manager centralmanager-vm1,0.049019607843137254
1554992757230,16010,Manager centralmanager-vm1,0.020202020202020204
1554992758240,17020,Manager centralmanager-vm1,0.04
1554992759250,18030,Manager centralmanager-vm1,0.019801980198019802
1554992760230,19010,Manager centralmanager-vm1,0.06
1554992761240,20020,Manager centralmanager-vm1,0.039603960396039604
1554992762251,21031,Manager centralmanager-vm1,0.05825242718446602
1554992763230,22010,Manager centralmanager-vm1,0.061224489795918366
1554992764240,23020,Manager centralmanager-vm1,0.04854368932038834
1554992765231,24011,Manager centralmanager-vm1,0.020618556701030927
1554992766230,25010,Manager centralmanager-vm1,0.04950495049504951
1554992767250,26030,Manager centralmanager-vm1,0.029411764705882353
1554992768240,27020,Manager centralmanager-vm1,0.05
1554992769230,28010,Manager centralmanager-vm1,0.030612244897959183
1554992770230,29010,Manager centralmanager-vm1,0.05
1554992771250,30030,Manager centralmanager-vm1,0.039603960396039604
1554992772240,31020,Manager centralmanager-vm1,0.020202020202020204
1554992773240,32020,Manager centralmanager-vm1,0.03
1554992774240,33020,Manager centralmanager-vm1,0.04
1554992775230,34010,Manager centralmanager-vm1,0.05050505050505051
1554992776243,35023,Manager centralmanager-vm1,0.0297029702970297
1554992777230,36010,Manager centralmanager-vm1,0.030612244897959183
1554992778230,37010,Manager centralmanager-vm1,0.0693069306930693
1554992779250,38030,Manager centralmanager-vm1,0.019801980198019802
1554992780240,39020,Manager centralmanager-vm1,0.020833333333333332
1554992781251,40031,Manager centralmanager-vm1,0.02
1554992782230,41010,Manager centralmanager-vm1,0.04040404040404041
1554992783230,42010,Manager centralmanager-vm1,0.03
1554992784250,43030,Manager centralmanager-vm1,0.0392156862745098
1554992785240,44020,Manager centralmanager-vm1,0.04
1554992786240,45020,Manager centralmanager-vm1,0.039603960396039604
1554992787231,46011,Manager centralmanager-vm1,0.020833333333333332
1554992788230,47010,Manager centralmanager-vm1,0.03
1554992789250,48030,Manager centralmanager-vm1,0.019801980198019802
1554992790240,49020,Manager centralmanager-vm1,0.05050505050505051
1554992791240,50020,Manager centralmanager-vm1,0.030303030303030304
1554992792240,51020,Manager centralmanager-vm1,0.04950495049504951
1554992793240,52020,Manager centralmanager-vm1,0.01020408163265306
1554992794250,53030,Manager centralmanager-vm1,0.058823529411764705
1554992795230,54010,Manager centralmanager-vm1,0.04040404040404041
1554992796231,55011,Manager centralmanager-vm1,0.04
1554992797231,56011,Manager centralmanager-vm1,0.03
1554992798240,57020,Manager centralmanager-vm1,0.02
1554992799230,58010,Manager centralmanager-vm1,0.0510204081632653
1554992800230,59010,Manager centralmanager-vm1,0.049019607843137254
1554992801231,60011,Manager centralmanager-vm1,0.04950495049504951
1554992802231,61011,Manager centralmanager-vm1,0.020202020202020204
1554992803230,62010,Manager centralmanager-vm1,0.06796116504854369
1554992804230,63010,Manager centralmanager-vm1,0.030303030303030304
1554992805241,64021,Manager centralmanager-vm1,0.04854368932038835
1554992806240,65020,Manager centralmanager-vm1,0.039603960396039604
1554992807230,66010,Manager centralmanager-vm1,0.020618556701030927
1554992808240,67020,Manager centralmanager-vm1,0.019801980198019802
1554992809230,68010,Manager centralmanager-vm1,0.030612244897959183
1554992810240,69020,Manager centralmanager-vm1,0.01
1554992811240,70020,Manager centralmanager-vm1,0.039603960396039604
1554992812230,71010,Manager centralmanager-vm1,0.03
1554992813240,72020,Manager centralmanager-vm1,0.019801980198019802
1554992814230,73010,Manager centralmanager-vm1,0.02040816326530612
1554992815240,74020,Manager centralmanager-vm1,0.07766990291262135
1554992816231,75011,Manager centralmanager-vm1,0.030303030303030304
1554992817230,76010,Manager centralmanager-vm1,0.02
1554992818240,77020,Manager centralmanager-vm1,0.039603960396039604
1554992819230,78010,Manager centralmanager-vm1,0.02
1554992820230,79010,Manager centralmanager-vm1,0.0707070707070707
1554992821250,80030,Manager centralmanager-vm1,0.04807692307692308
1554992822241,81021,Manager centralmanager-vm1,0.02040816326530612
1554992823230,82010,Manager centralmanager-vm1,0.02040816326530612
1554992824240,83020,Manager centralmanager-vm1,0.0392156862745098
1554992825230,84010,Manager centralmanager-vm1,0.04
1554992826240,85020,Manager centralmanager-vm1,0.02
1554992827231,86011,Manager centralmanager-vm1,0.020202020202020204
1554992828230,87010,Manager centralmanager-vm1,0.020202020202020204
1554992829241,88021,Manager centralmanager-vm1,0.0392156862745098
1554992830230,89010,Manager centralmanager-vm1,0.01020408163265306
1554992831240,90020,Manager centralmanager-vm1,0.019801980198019802
