sites,run,icd,exec
17,10,26,18404
17,11,40,13386
17,12,38,15798
17,13,24,13592
17,14,19,13393
17,15,61,14987
17,16,21,12589
17,17,29,14182
17,18,37,13786
17,19,45,15195
17,20,38,13182
18,1,31,11778
18,2,38,11577
18,3,27,14603
18,4,19,15186
18,5,51,12786
18,6,28,12583
18,7,51,16597
18,8,60,13781
18,9,30,16191
18,10,29,13393
18,11,60,13581
18,12,42,10973
18,13,46,14993
18,14,28,12987
18,15,36,12177
18,16,52,15794
18,17,64,15394
18,18,35,13378
18,19,59,19018
18,20,43,14785
19,1,47,13368
19,2,32,12974
19,3,57,19207
19,4,40,13779
19,5,31,14423
19,6,41,14596
19,7,69,15196
19,8,34,13984
19,9,45,13780
19,10,19,12585
19,11,31,13189
19,12,103,29264
19,13,47,13384
19,14,50,18227
19,15,56,14786
19,16,11,12986
19,17,43,13384
19,18,30,12587
19,19,19,11383
19,20,44,13183
20,1,33,14175
20,2,19,10766
20,3,23,12578
20,4,50,16203
20,5,39,10972
20,6,37,15394
20,7,47,12788
20,8,48,13177
20,9,29,11982
20,10,46,18003
20,11,42,14786
20,12,47,13986
20,13,41,16797
20,14,13,16595
20,15,37,18433
20,16,22,11573
20,17,30,15394
20,18,45,18016
20,19,25,11574
20,20,47,13583
