objectCount, responseTime(ms)
2, 135
2, 129
2, 127
2, 127
2, 122
2, 120
2, 121
2, 121
2, 120
2, 124
2, 120
2, 119
2, 118
2, 121
2, 117
2, 118
2, 117
2, 116
2, 118
2, 120
3, 146
3, 139
3, 134
3, 136
3, 138
3, 136
3, 136
3, 127
3, 127
3, 125
3, 124
3, 124
3, 122
3, 125
3, 123
3, 122
3, 126
3, 125
3, 123
3, 120
5, 186
5, 156
5, 156
5, 150
5, 147
5, 143
5, 141
5, 139
5, 147
5, 139
5, 138
5, 132
5, 135
5, 138
5, 132
5, 133
5, 137
5, 135
5, 132
5, 143
7, 202
7, 182
7, 171
7, 172
7, 162
7, 160
7, 172
7, 158
7, 159
7, 151
7, 176
7, 156
7, 150
7, 154
7, 149
7, 147
7, 149
7, 159
7, 150
7, 153
